总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
92.0,15904,硚口 武广万松园 一至二环,宝丰三村,2室2厅1厨1卫,中楼层 (共7层),57.85㎡,平层,暂无数据,塔楼,南 北,混合结构,其他,暂无数据,无,暂无数据,2023-07-07,房改房,2019-07-25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20200510hI1AO
82.0,9025,硚口 古田 一至二环,硚口区古田四路183号,2室2厅1厨1卫,高楼层 (共7层),90.86㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,无,暂无数据,2023-08-08,商品房,2003-07-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220219Idrfr
59.0,8285,硚口 古田 一环内,古南社区,2室1厅1厨1卫,低楼层 (共8层),71.22㎡,平层,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-08-26,房改房,2018-08-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230827E1sy3
75.0,13140,硚口 汉正街 一至二环,美奇国际,2室1厅1厨1卫,中楼层 (共25层),57.08㎡,平层,50㎡,塔楼,南,钢混结构,简装,三梯二十二户,有,暂无数据,2023-02-19,商品房,2013-10-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202206227oS7L
67.0,14837,硚口 汉正街 一至二环,双龙小区,1室1厅1厨1卫,高楼层 (共12层),45.16㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三十户,有,暂无数据,2022-12-28,商品房,2008-12-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200922RhM4U
71.0,14998,硚口 武广万松园 二至三环,宝丰巷,1室1厅1厨1卫,高楼层 (共7层),47.34㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,暂无数据,无,暂无数据,2023-02-19,商品房,2009-06-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230220ioufY
90.0,15152,硚口 武广万松园 一至二环,宝丰二路128号,2室1厅1厨1卫,中楼层 (共8层),59.4㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,无,暂无数据,2023-03-26,房改房,2000-03-31,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20220609pXEPA
52.0,11215,硚口 古田 ,汉口西园,2室1厅1厨1卫,低楼层 (共14层),46.37㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,两梯七户,有,暂无数据,2023-03-07,商品房,2018-02-07,普通住宅,满五年,非共有,"
                                有抵押 50万元 农业银行 业主自还
                              ",已上传房本照片,20220424ZZBpM
68.0,13735,硚口 宝丰崇仁 一至二环,营房北村,1室1厅1厨1卫,低楼层 (共6层),49.51㎡,平层,暂无数据,板楼,南,混合结构,其他,暂无数据,无,暂无数据,2023-06-19,商品房,2018-06-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200721x8UUe
51.0,10112,硚口 汉正街 一至二环,美奇国际,1室1厅1厨1卫,高楼层 (共25层),50.44㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯二十四户,有,暂无数据,2023-05-07,商品房,2016-08-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230507qPp2V
99.0,13575,硚口 长丰常码头 ,紫润明园北区,2室1厅1厨1卫,中楼层 (共11层),72.93㎡,平层,暂无数据,板塔结合,北 南,钢混结构,简装,一梯四户,有,暂无数据,2022-08-11,经济适用房,2019-06-12,普通住宅,满两年,非共有,"
                                有抵押 63万元 武汉农村商业银行 客户偿还
                              ",已上传房本照片,20220812iVII1
86.0,18240,硚口 武广万松园 一至二环,宝丰三村,2室1厅1厨1卫,低楼层 (共8层),47.15㎡,平层,暂无数据,塔楼,南,钢混结构,简装,暂无数据,无,暂无数据,2022-05-10,商品房,2009-09-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220510M4WNk
80.0,10211,硚口 长丰常码头 一至二环,华生汉口城市广场北区,2室1厅1厨1卫,高楼层 (共15层),78.35㎡,平层,61.79㎡,板楼,东 东南,钢混结构,简装,两梯四户,有,暂无数据,2020-07-09,拆迁还建房,2018-09-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200630jVspW
85.0,9954,硚口 古田 二至三环,银舵新都,3室2厅1厨0卫,低楼层 (共11层),85.4㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,暂无数据,2022-03-25,商品房,2013-11-20,普通住宅,满五年,非共有,"
                                有抵押 80万元 光大银行
                              ",已上传房本照片,20220328miLRO
92.0,23345,硚口 宝丰崇仁 一至二环,硚房翰林珑城,1室1厅1厨1卫,中楼层 (共20层),39.41㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯十七户,有,暂无数据,2023-02-08,商品房,2017-11-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230210ftyx7
100.0,11145,硚口 古田 二至三环,长青国际,2室2厅1厨1卫,高楼层 (共34层),89.73㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,暂无数据,2023-10-15,拆迁还建房,2021-07-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20211102422vo
88.0,12238,硚口 古田 一至二环,新华社区(硚口),2室1厅1厨1卫,高楼层 (共7层),71.91㎡,平层,暂无数据,暂无数据,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-03-23,房改房,2020-12-09,普通住宅,满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,20210511hYgU9
95.0,13693,硚口 古田 ,古田帝园,2室1厅1厨1卫,中楼层 (共17层),69.38㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯四户,有,暂无数据,2023-05-09,拆迁还建房,2012-08-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230407hIYk4
88.0,9478,硚口 长丰常码头 ,馨竹苑,2室1厅1厨1卫,高楼层 (共9层),92.85㎡,平层,暂无数据,板楼,南,钢混结构,其他,四梯四户,有,暂无数据,2023-02-27,商品房,2018-01-10,普通住宅,满五年,共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,20220607ZfROm
67.0,14597,硚口 武广万松园 一至二环,宝丰街,1室1厅1厨1卫,高楼层 (共8层),45.9㎡,平层,45.8㎡,塔楼,南 北,混合结构,简装,暂无数据,暂无数据,暂无数据,2020-09-02,商品房,2000-09-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200621Q1dGs
76.0,18596,硚口 武广万松园 一至二环,利北二村,2室1厅1厨1卫,中楼层 (共7层),40.87㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-10-21,商品房,2015-01-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20201021Gif5F
52.0,14526,硚口 古田 二至三环,美好名流汇,1室1厅1厨1卫,低楼层 (共33层),35.8㎡,平层,暂无数据,板楼,东 东南,钢混结构,精装,三梯十四户,有,暂无数据,2021-03-08,商品房,2020-07-22,普通住宅,满两年,非共有,"
                                有抵押 25万元
                              ",已上传房本照片,20200927QnL1p
80.0,13115,硚口 长丰常码头 ,丰竹园,2室1厅1厨1卫,高楼层 (共7层),61㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,暂无数据,暂无数据,2022-09-27,房改房,2020-09-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20221014yvqtk
62.0,9505,硚口 古田 ,正康社区古田公寓,2室1厅1厨1卫,中楼层 (共5层),65.23㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯三户,有,暂无数据,2023-04-15,商品房,2020-08-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,2022040183Gtk
79.0,10542,硚口 古田 一至二环,百姓之春,2室2厅1厨1卫,中楼层 (共11层),74.94㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,暂无数据,2023-10-24,经济适用房,2019-10-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202208284kyPu
70.0,14054,硚口 古田 二至三环,招商江湾国际,1室1厅1厨1卫,高楼层 (共45层),49.81㎡,平层,暂无数据,板塔结合,东北 西,钢混结构,其他,三梯十二户,有,暂无数据,2023-06-21,商品房,2019-09-17,普通住宅,满两年,非共有,"
                                有抵押 35万元 招商 业主自还
                              ",已上传房本照片,20221005votP1
71.0,9093,硚口 长丰常码头 一至二环,华生汉口城市广场北区,2室2厅1厨1卫,低楼层 (共11层),78.09㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,暂无数据,2023-05-31,拆迁还建房,2020-06-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230531sn3Dl
80.0,13081,硚口 古田 ,解放大道92号,2室1厅1厨1卫,中楼层 (共7层),61.16㎡,平层,暂无数据,板塔结合,南,砖混结构,其他,暂无数据,无,暂无数据,2023-06-27,商品房,2005-04-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230628TQTDH
99.0,13575,硚口 长丰常码头 ,紫润明园北区,2室1厅1厨1卫,中楼层 (共11层),72.93㎡,平层,暂无数据,板塔结合,北 南,钢混结构,简装,一梯四户,有,暂无数据,2022-08-11,经济适用房,2019-06-12,普通住宅,满两年,非共有,"
                                有抵押 63万元 武汉农村商业银行 客户偿还
                              ",已上传房本照片,20220812iVII1
80.0,10488,硚口 古田 ,省柴小区,4室2厅1厨1卫,高楼层 (共7层),76.28㎡,平层,65.16㎡,板楼,东 西,钢混结构,其他,暂无数据,无,暂无数据,2023-05-06,商品房,2009-10-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210623uV9ux
96.0,11968,硚口 长丰常码头 二至三环,天顺园九村,2室2厅1厨1卫,高楼层 (共11层),80.22㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯四户,有,暂无数据,2023-05-31,经济适用房,2011-12-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202305318CKf9
67.0,18858,硚口 宝丰崇仁 二至三环,时代天骄,1室1厅1厨1卫,中楼层 (共22层),35.53㎡,平层,暂无数据,板楼,南,钢混结构,其他,四梯二十八户,有,暂无数据,2022-11-15,商品房,2018-01-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20221118LTFQ4
51.0,10112,硚口 汉正街 一至二环,美奇国际,1室1厅1厨1卫,高楼层 (共25层),50.44㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯二十四户,有,暂无数据,2023-05-07,商品房,2016-08-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230507qPp2V
79.0,9519,硚口 古田 ,丰华园,2室1厅1厨1卫,中楼层 (共11层),83㎡,平层,暂无数据,板楼,东南,钢混结构,简装,一梯四户,有,暂无数据,2020-06-23,商品房,2012-12-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20211229f7eCv
81.0,10702,硚口 长丰常码头 ,紫润明园北区,2室1厅1厨1卫,中楼层 (共11层),75.69㎡,平层,64.16㎡,板塔结合,南,钢混结构,简装,一梯三户,有,暂无数据,2023-02-03,经济适用房,2012-04-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220911S2IJ0
82.0,9025,硚口 古田 一至二环,硚口区古田四路183号,2室2厅1厨1卫,高楼层 (共7层),90.86㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,无,暂无数据,2023-08-08,商品房,2003-07-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220219Idrfr
58.0,9763,硚口 古田 二至三环,盛世长丰,2室2厅1厨1卫,中楼层 (共21层),59.41㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯六户,有,暂无数据,2023-04-05,经济适用房,2019-08-26,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20210514KN4Tb
90.0,10914,硚口 古田 二至三环,建荣嘉园,2室2厅1厨1卫,低楼层 (共30层),82.47㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯五户,有,暂无数据,2023-04-05,拆迁还建房,2021-09-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220924nj4Sc
80.0,10211,硚口 长丰常码头 一至二环,华生汉口城市广场北区,2室1厅1厨1卫,高楼层 (共15层),78.35㎡,平层,61.79㎡,板楼,东 东南,钢混结构,简装,两梯四户,有,暂无数据,2020-07-09,拆迁还建房,2018-09-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200630jVspW
68.0,13735,硚口 宝丰崇仁 一至二环,营房北村,1室1厅1厨1卫,低楼层 (共6层),49.51㎡,平层,暂无数据,板楼,南,混合结构,其他,暂无数据,无,暂无数据,2023-06-19,商品房,2018-06-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200721x8UUe
68.0,13105,硚口 汉正街 一至二环,双龙小区,2室0厅1厨1卫,中楼层 (共10层),51.89㎡,平层,38.73㎡,板楼,北,钢混结构,简装,两梯十二户,有,暂无数据,2023-05-24,商品房,2014-12-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230529bLYER
45.0,9753,硚口 古田 二至三环,天泽一方,1室1厅1厨1卫,高楼层 (共18层),46.14㎡,平层,39㎡,板楼,西,钢混结构,其他,两梯六户,有,暂无数据,2023-07-07,商品房,2016-07-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230708X6gX5
79.0,13050,硚口 古田 二至三环,广电兰亭荣荟,1室1厅1厨1卫,低楼层 (共40层),60.54㎡,平层,60㎡,板塔结合,南,钢混结构,其他,四梯十户,有,暂无数据,2023-09-08,商品房,2019-09-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230914xxIlV
62.0,8579,硚口 长丰常码头 二至三环,天顺园一村,2室1厅1厨1卫,中楼层 (共6层),72.27㎡,平层,暂无数据,板楼,北,混合结构,其他,暂无数据,无,暂无数据,2022-05-10,商品房,2001-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220511RNGir
