总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
38.5,3265,汉南 汉南其它 ,幸福家园小区,3室2厅1厨2卫,高楼层 (共16层),117.92㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-06,拆迁还建房,2021-11-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230606KybTM
26.0,2890,汉南 汉南其它 四环外,永丰清华园,2室2厅1厨1卫,高楼层 (共24层),89.98㎡,平层,86㎡,板楼,北 南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-28,商品房,2019-01-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20240116VYES9
87.0,6737,汉南 汉南其它 四环外,碧桂园凤凰湾,4室2厅1厨2卫,低楼层 (共34层),129.14㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-10,商品房,2023-05-15,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231011iVciA
85.0,4802,汉南 汉南其它 ,浅月湾映翠湾,3室2厅1厨3卫,低楼层 (共3层),177.04㎡,暂无数据,177.04㎡,平房,南 北,钢混结构,毛坯,暂无数据,无,暂无数据,2021-07-22,商品房,2015-11-24,普通住宅,满五年,共有,"
                                有抵押 35万元
                              ",已上传房本照片,20210824s9INZ
40.0,5010,汉南 汉南其它 四环外,东庭郡园,2室2厅1厨1卫,中楼层 (共24层),79.85㎡,平层,61.7㎡,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2021-06-29,商品房,2021-06-30,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,2021070582NZy
69.0,5760,汉南 汉南其它 四环外,星悦湾,3室2厅1厨2卫,中楼层 (共30层),119.81㎡,平层,99.26㎡,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-12,商品房,2021-06-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231113497oE
145.0,8164,汉南 汉南其它 ,绿地城协子河畔B,5室2厅1厨3卫,高楼层 (共6层),177.62㎡,复式,154.72㎡,暂无数据,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-07-23,商品房,2021-09-17,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,202307232C81b
62.0,5708,汉南 汉南其它 ,太白湖畔D区,3室2厅1厨2卫,低楼层 (共32层),108.62㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-27,商品房,2021-11-03,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,20211109ZpoKg
79.0,6122,汉南 汉南其它 四环外,锦深汉南公馆,3室2厅1厨2卫,低楼层 (共24层),129.05㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,暂无数据,2023-11-15,商品房,2020-11-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230211k2nd1
55.0,5312,汉南 汉南其它 四环外,碧桂园凰城悦山湖,3室2厅1厨2卫,低楼层 (共34层),103.55㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-26,商品房,2022-04-07,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231226QD0P2
26.8,2956,汉南 汉南其它 四环外,江湾华庭,2室2厅1厨1卫,高楼层 (共16层),90.68㎡,平层,暂无数据,板楼,北 南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-05-04,商品房,2021-12-07,普通住宅,满两年,非共有,"
                                有抵押 18万元 金融公司垫资
                              ",已上传房本照片,202308232GBCQ
91.0,8665,汉南 汉南其它 ,碧桂园凰城峰景,3室2厅1厨1卫,低楼层 (共11层),105.03㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯三户,有,暂无数据,2021-09-13,商品房,2019-09-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210914jgc4U
80.0,5556,汉南 汉南其它 四环外,碧桂园凰城悦山湖,4室2厅1厨2卫,低楼层 (共18层),144.01㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-22,商品房,2021-12-03,普通住宅,满两年,共有,"
                                有抵押 60万元 汉口
                              ",已上传房本照片,20220103iEWyo
62.0,5660,汉南 汉南其它 ,峰悦,4室2厅1厨1卫,中楼层 (共32层),109.55㎡,平层,暂无数据,暂无数据,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-06-30,商品房,2020-11-30,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,20210327MFsVh
63.0,4743,汉南 汉南其它 四环外,永丰清华园,3室1厅1厨2卫,低楼层 (共24层),132.83㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-06-30,商品房,2020-08-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210710a0y6q
68.0,5445,汉南 汉南其它 三至四环,新长江香榭澜溪三期,3室2厅1厨2卫,中楼层 (共20层),124.9㎡,平层,92.74㎡,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-25,商品房,2021-07-16,普通住宅,满两年,共有,"
                                有抵押 金融公司垫资
                              ",已上传房本照片,202107217iGOk
51.0,5975,汉南 汉南其它 ,盛世港湾,2室2厅1厨1卫,高楼层 (共11层),85.36㎡,平层,69.93㎡,暂无数据,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-04-12,商品房,2020-12-04,普通住宅,满两年,共有,"
                                有抵押 10万元
                              ",已上传房本照片,20210412RbUD8
64.0,6212,汉南 汉南其它 四环外,碧桂园凤凰湾,3室2厅1厨1卫,高楼层 (共33层),103.03㎡,平层,81.99㎡,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-25,商品房,2021-10-08,普通住宅,满两年,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,20220216V7F3T
76.0,5602,汉南 汉南其它 四环外,永丰清华园,4室1厅1厨2卫,低楼层 (共24层),135.68㎡,平层,111.37㎡,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-13,商品房,2018-07-05,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,20210315To1hO
55.0,5275,汉南 汉南其它 ,峰悦,3室2厅1厨1卫,高楼层 (共33层),104.27㎡,平层,暂无数据,暂无数据,南 北,钢混结构,精装,两梯三户,有,暂无数据,2021-07-25,商品房,2019-08-26,普通住宅,满两年,共有,"
                                有抵押 30万元
                              ",已上传房本照片,20210725pbleJ
65.0,5098,汉南 汉南其它 四环外,汉南天地,4室2厅1厨2卫,高楼层 (共33层),127.52㎡,平层,暂无数据,板楼,北 南,钢混结构,其他,两梯三户,有,暂无数据,2021-06-18,商品房,2021-06-18,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20210107PXojf
62.0,4983,汉南 汉南其它 四环外,圣特立国际花园,3室1厅1厨2卫,中楼层 (共17层),124.43㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-11,商品房,2021-04-13,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20210415hnOu7
68.0,5333,汉南 汉南其它 四环外,汉南天地,2室1厅1厨2卫,中楼层 (共33层),127.52㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-30,商品房,2020-04-22,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20200514YgU7w
68.0,5333,汉南 汉南其它 四环外,汉南天地,2室1厅1厨2卫,低楼层 (共33层),127.52㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-30,商品房,2020-04-22,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20200514gDev4
96.0,8339,汉南 汉南其它 ,碧桂园江汉山色,3室2厅1厨2卫,低楼层 (共6层),115.13㎡,平层,100.44㎡,板塔结合,南 北,钢混结构,其他,暂无数据,无,暂无数据,2021-06-30,商品房,2014-06-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210706Tq58W
80.0,6826,汉南 汉南其它 四环外,兰亭风华,3室2厅1厨2卫,高楼层 (共31层),117.2㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-03,商品房,2021-11-03,普通住宅,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,20231105VVBwg
48.0,5026,汉南 汉南其它 四环外,圆梦08庄园1-3期,3室2厅1厨1卫,低楼层 (共11层),95.52㎡,平层,78.72㎡,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-01,商品房,2015-02-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230805AyWm7
55.0,4237,汉南 汉南其它 ,碧桂园翠堤春晓,3室2厅1厨2卫,低楼层 (共18层),129.82㎡,平层,107.31㎡,暂无数据,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-08-10,商品房,2011-07-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210528S1nsv
70.0,5872,汉南 汉南其它 ,南岛太白湖畔B区,3室2厅1厨2卫,中楼层 (共19层),119.21㎡,平层,91.63㎡,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-07,商品房,2021-04-02,普通住宅,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,20231107aYfHa
55.0,4571,汉南 汉南其它 ,南国江城,3室2厅1厨2卫,高楼层 (共6层),120.35㎡,平层,107.42㎡,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2022-05-24,商品房,2013-04-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,202101089M2by
65.0,5312,汉南 汉南其它 ,碧桂园翠堤春晓,3室2厅1厨2卫,中楼层 (共6层),122.37㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,暂无数据,无,暂无数据,2021-08-17,商品房,2017-03-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20200520NqTM2
52.0,4738,汉南 汉南其它 ,碧桂园翠堤春晓,3室2厅1厨1卫,中楼层 (共18层),109.76㎡,平层,90.73㎡,暂无数据,南 北,钢混结构,其他,两梯四户,有,暂无数据,2023-10-02,商品房,2012-08-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220328Mk5Wi
70.0,6814,汉南 汉南其它 四环外,碧桂园凤凰湾,3室2厅1厨1卫,低楼层 (共34层),102.73㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-11-16,商品房,2023-11-16,普通住宅,未满两年,非共有,"
                                有抵押 35万元 中国银行 客户偿还
                              ",已上传房本照片,20231116LiQ5Z
66.0,7547,汉南 汉南其它 ,太白湖畔D区,3室2厅1厨1卫,高楼层 (共32层),87.46㎡,平层,暂无数据,板楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2021-11-05,商品房,2021-03-09,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,20211109xrGUZ
65.0,5393,汉南 汉南其它 四环外,永丰清华园,3室2厅1厨2卫,高楼层 (共25层),120.54㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,暂无数据,2021-09-07,商品房,2018-06-29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20200427H4Tne
55.0,5872,汉南 汉南其它 ,峰悦,3室2厅1厨1卫,高楼层 (共11层),93.67㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,有,暂无数据,2021-06-30,商品房,2017-08-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20200809oX8TF
57.0,6487,汉南 汉南其它 ,绿地城协子河畔A,3室1厅1厨1卫,高楼层 (共34层),87.88㎡,平层,暂无数据,板楼,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-07,商品房,2021-04-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220812BjkCM
65.0,5086,汉南 汉南其它 四环外,圆梦08庄园1-3期,4室2厅1厨2卫,高楼层 (共11层),127.82㎡,复式,暂无数据,板楼,南 北,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-07-08,商品房,2012-11-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,2022112046yjH
57.0,5633,汉南 汉南其它 ,绿地城协子河畔A,3室2厅1厨2卫,高楼层 (共33层),101.19㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2023-05-17,商品房,2021-05-18,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,20220710k5X10
75.0,5418,汉南 汉南其它 四环外,汉武国际城,3室2厅1厨2卫,高楼层 (共16层),138.44㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2023-03-08,商品房,2019-03-09,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,202303091j9yk
72.0,5421,汉南 汉南其它 四环外,永丰清华园,3室2厅1厨2卫,高楼层 (共24层),132.83㎡,平层,109.03㎡,板楼,东南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-02-08,商品房,2018-05-04,普通住宅,满五年,非共有,"
                                有抵押 6万元 建设银行 客户偿还
                              ",已上传房本照片,20210302RNm4k
60.0,4842,汉南 汉南其它 ,南色鑫空,4室2厅1厨2卫,低楼层 (共6层),123.92㎡,平层,111.76㎡,暂无数据,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-04-17,商品房,2017-07-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20220407vp3kU
33.5,4503,汉南 汉南其它 ,汉南大道,2室1厅1厨1卫,中楼层 (共6层),74.41㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-01-08,商品房,2016-05-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20220108KEFJh
45.0,5169,汉南 汉南其它 ,绿地城协子河畔A,3室2厅1厨1卫,低楼层 (共33层),87.06㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-02,商品房,2021-06-10,普通住宅,满两年,非共有,"
                                有抵押 36万元 邮政银行 金融公司垫资
                              ",已上传房本照片,20230206bc4jj
59.5,6126,汉南 汉南其它 四环外,新城庭瑞君悦观澜,3室2厅1厨1卫,高楼层 (共34层),97.13㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-16,商品房,2021-03-29,普通住宅,满两年,共有,"
                                有抵押 25万元
                              ",已上传房本照片,20230518Pwo2h
45.0,5209,汉南 汉南其它 ,盛世港湾,2室1厅1厨1卫,中楼层 (共18层),86.39㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-06-12,商品房,2021-02-03,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20210613x6FtL
58.0,5028,汉南 汉南其它 四环外,新长江香榭澜溪二期,3室2厅1厨2卫,低楼层 (共34层),115.36㎡,平层,91.35㎡,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-11,商品房,2019-08-22,普通住宅,满两年,共有,"
                                有抵押 16万元 建设银行 业主自还
                              ",已上传房本照片,20230411ng0Ag
54.0,4025,汉南 汉南其它 ,中奇银莲花园,4室2厅1厨2卫,高楼层 (共6层),134.18㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-20,商品房,2008-07-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210113B9DoM
80.0,5879,汉南 汉南其它 四环外,汉南天地,3室2厅1厨2卫,高楼层 (共33层),136.1㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2020-04-20,商品房,2019-09-17,普通住宅,满两年,非共有,"
                                有抵押 70万元 湖北银行 业主自还
                              ",已上传房本照片,20200104cCcey
40.8,3490,汉南 汉南其它 ,育才路320号,3室2厅1厨1卫,高楼层 (共6层),116.92㎡,平层,暂无数据,暂无数据,南,混合结构,其他,暂无数据,暂无数据,暂无数据,2023-01-27,商品房,2006-10-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230217f8Qoa
58.0,6005,汉南 汉南其它 四环外,圆梦08庄园1-3期,3室2厅1厨1卫,高楼层 (共11层),96.6㎡,平层,暂无数据,板楼,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-11-01,商品房,2018-10-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210303BP5Z0
49.0,4248,汉南 汉南其它 四环外,新长江香榭澜溪二期,3室2厅1厨2卫,低楼层 (共34层),115.36㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-12,商品房,2019-05-12,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,202309121iCOk
68.0,5591,汉南 汉南其它 ,碧桂园凰城峰景,3室2厅1厨2卫,中楼层 (共11层),121.64㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-05-05,商品房,2019-04-08,普通住宅,满两年,共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,20230505UAZDE
63.0,5216,汉南 汉南其它 ,博学佳园,3室2厅1厨2卫,中楼层 (共7层),120.79㎡,平层,107.75㎡,暂无数据,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-06-20,商品房,2013-04-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,202303067nN8x
63.0,5433,汉南 汉南其它 四环外,江景湾,3室2厅1厨1卫,低楼层 (共17层),115.96㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2023-04-03,商品房,2020-01-31,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,202304031RY5T
58.0,5168,汉南 汉南其它 ,碧桂园凰城峰景,3室2厅1厨1卫,高楼层 (共11层),112.23㎡,平层,92.24㎡,板塔结合,南 北,钢混结构,精装,一梯四户,有,暂无数据,2022-06-24,商品房,2015-01-21,普通住宅,满五年,非共有,"
                                有抵押 8万元
                              ",已上传房本照片,20220627F4DMR
62.0,5498,汉南 汉南其它 ,峰悦,3室1厅1厨2卫,高楼层 (共32层),112.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-02-11,商品房,2019-08-14,普通住宅,满两年,非共有,"
                                有抵押 45万元
                              ",已上传房本照片,20210719e0nnf
65.0,5145,汉南 汉南其它 四环外,汉武国际城,3室2厅1厨2卫,低楼层 (共16层),126.35㎡,平层,104.8㎡,板楼,东南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-02-28,商品房,2018-03-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220228y9GL3
29.0,5985,汉南 汉南其它 四环外,天仪豪庭,1室1厅1厨1卫,高楼层 (共27层),48.46㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-20,商品房,2021-01-21,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20210310LrgiW
36.0,4011,汉南 汉南其它 四环外,永丰清华园,2室2厅1厨1卫,高楼层 (共25层),89.77㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-01-21,商品房,2012-01-22,普通住宅,满五年,共有,"
                                有抵押 40万元 其他 业主自还
                              ",已上传房本照片,20210606CRGEN
73.0,5566,汉南 汉南其它 四环外,新长江香榭澜溪二期,4室2厅1厨2卫,高楼层 (共34层),131.16㎡,平层,103.88㎡,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2023-10-26,商品房,2019-09-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210901KAIRF
66.0,4644,汉南 汉南其它 四环外,汉武国际城,4室2厅1厨2卫,中楼层 (共17层),142.14㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-02-05,商品房,2018-08-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20201221GqfyU
26.0,3282,汉南 汉南其它 ,薇湖路,3室1厅1厨1卫,中楼层 (共6层),79.22㎡,平层,暂无数据,暂无数据,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-10-21,商品房,2016-11-07,普通住宅,满五年,共有,"
                                有抵押 2万元
                              ",已上传房本照片,20210224W45cM
50.0,5149,汉南 汉南其它 四环外,新长江香榭澜溪二期,3室1厅1厨1卫,高楼层 (共34层),97.12㎡,平层,76.9㎡,板楼,南,钢混结构,其他,两梯四户,有,暂无数据,2023-07-08,商品房,2020-12-16,普通住宅,满两年,共有,"
                                有抵押 1万元 业主自还
                              ",已上传房本照片,20230708VvHbI
68.0,5185,汉南 汉南其它 四环外,新长江香榭澜溪二期,4室2厅1厨2卫,高楼层 (共34层),131.16㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-28,商品房,2019-03-11,普通住宅,满两年,非共有,"
                                有抵押 15万元 业主自还
                              ",已上传房本照片,20230407uoyyo
50.0,3671,汉南 汉南其它 ,梦泽园,3室2厅1厨2卫,中楼层 (共7层),136.21㎡,平层,122.44㎡,塔楼,东南,混合结构,毛坯,暂无数据,无,暂无数据,2022-06-21,商品房,2016-04-06,普通住宅,满五年,非共有,"
                                有抵押 28万元 不详 业主自还
                              ",已上传房本照片,20200511kkS0L
52.0,4647,汉南 汉南其它 ,碧桂园凰城峰景,3室2厅1厨1卫,高楼层 (共11层),111.91㎡,平层,92.27㎡,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2023-06-11,商品房,2017-07-12,普通住宅,满五年,非共有,"
                                有抵押 28万元 邮政银行
                              ",已上传房本照片,20220507gHbX4
